id	source_site	city	role	experience	degree	tags	evidence_level	source_url	collected_at
1	BOSS直聘	上海	Agent 架构师/高级 AI 应用开发工程师	3-5年	本科	agent_core,business_delivery,engineering_reliability,rag_context_memory	public_summary	https://m.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/	2026-07-17
2	BOSS直聘	上海	AI Agent 开发工程师（可审计/可观测）	3-5年	本科	agent_core,engineering_reliability,evaluation_observability,security_governance	public_summary	https://m.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/	2026-07-17
3	BOSS直聘	上海	AI Agent 开发工程师（Agent OS）	3-5年	硕士	agent_core,business_delivery,engineering_reliability	public_summary	https://m.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/	2026-07-17
4	BOSS直聘	上海	AI Agent 开发工程师（稳定可扩展后端）	5-10年	本科	agent_core,engineering_reliability,inference_serving,rag_context_memory	public_summary	https://m.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/	2026-07-17
5	BOSS直聘	上海	机器人交互 AI Agent 开发工程师	3-5年	本科	agent_core,engineering_reliability,evaluation_observability	public_summary	https://m.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/	2026-07-17
6	BOSS直聘	上海	量化研究 AI Agent 开发工程师	在校/应届	本科	agent_core,evaluation_observability,rag_context_memory	public_summary	https://m.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/	2026-07-17
7	BOSS直聘	上海	ToB AI Agent 开发工程师	5-10年	本科	agent_core,business_delivery,engineering_reliability	public_summary	https://m.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/	2026-07-17
8	BOSS直聘	上海	FDE AI Agent 应用开发工程师	1-3年	本科	agent_core,business_delivery,engineering_reliability,evaluation_observability	public_summary	https://m.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/	2026-07-17
9	BOSS直聘	上海	远程 AI Agent 应用开发工程师	5-10年	本科	agent_core,business_delivery,engineering_reliability,rag_context_memory	public_summary	https://m.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/	2026-07-17
10	BOSS直聘	上海	AI 应用开发工程师（Prompt/RAG/Tool/Memory）	1-3年	本科	agent_core,engineering_reliability,rag_context_memory	public_summary	https://m.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/	2026-07-17
11	BOSS直聘	上海	AI Agent 开发工程师（规划/上下文/工具/工作流）	1-3年	本科	agent_core,engineering_reliability,rag_context_memory	public_summary	https://m.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/	2026-07-17
12	BOSS直聘	上海	CAD AI 助手开发工程师	3-5年	本科	agent_core,business_delivery,engineering_reliability	public_summary	https://m.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/	2026-07-17
13	BOSS直聘	上海	云服务 AI Agent 开发工程师	5-10年	本科	agent_core,business_delivery,engineering_reliability	public_summary	https://m.zhipin.com/zhaopin/42555746a85eb0741HB43di7GQ~~/	2026-07-17
